"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"404 not found","http://docs.brightcove.com/en/video-cloud/playback-api/getting-started/overview-playback.html","","Playback API Overview","http://docs.brightcove.com/en/video-cloud/policy-api/getting-started/api-overview.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/cms-api/di-api/getting-started/overview-di.html","","Dynamic Ingest API","http://docs.brightcove.com/en/video-cloud/cms-api/getting-started/overview-cms.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/cms-api/getting-started/getting-started/quick-start-cms.html","","Quick Start to the CMS API","http://docs.brightcove.com/en/video-cloud/cms-api/getting-started/overview-cms.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/getting-started-video-cloud-studio.html","","Getting Started with the New Video Cloud Studio","http://docs.brightcove.com/en/video-cloud/brightcove-player/getting-started/brightcove-player-overview.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/getting-started-video-cloud-studio.html","","Getting Started with the New Video Cloud Studio","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/getting-started-video-cloud-studio.html","","Getting Started with the New Video Cloud Studio","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/getting-started-video-cloud-studio.html","","Getting Started with the New Video Cloud Studio","http://docs.brightcove.com/en/video-cloud//oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-video-content-settings.html","","Configuring the Video Content Properties for a Player","http://docs.brightcove.com/en/video-cloud/brightcove-player/getting-started/brightcove-player-overview.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/publishing-players/generating-player-publishing-code.html","","Generating Player Publishing Code","http://docs.brightcove.com/en/video-cloud/brightcove-player/getting-started/quick-start-bc-player.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/publishing-players/generating-player-publishing-code.html","","Players module","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/adding-captions-to-videos.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/publishing-players/generating-player-publishing-code.html","","Generating Player Publishing Code","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/adding-captions-to-videos.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/publishing-players/generating-player-publishing-code.html","","Generating Player Publishing Code","http://docs.brightcove.com/en/video-cloud//brightcove-player/getting-started/quick-start-bc-player.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-plugins.html","","Configuring Player Plugins","http://docs.brightcove.com/en/video-cloud/brightcove-player/getting-started/quick-start-bc-player.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-plugins.html","","Configuring Player Plugins","http://docs.brightcove.com/en/video-cloud//brightcove-player/getting-started/quick-start-bc-player.html","Jan 24, 2016, 10:53:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-endscreens.html","","editing the endscreen properties","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/custom-endscreen-plugin.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-endscreens.html","","Configuring the Player Endscreen","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/custom-endscreen-plugin.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-endscreens.html","","editing the endscreen properties","http://docs.brightcove.com/en/video-cloud//brightcove-player/guides/custom-endscreen-plugin.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-player-endscreens.html","","Configuring the Player Endscreen","http://docs.brightcove.com/en/video-cloud//brightcove-player/guides/custom-endscreen-plugin.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/managing-videos/create-manage-playlists.html","","Creating and Managing Playlists","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/playlist-using.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/managing-videos/create-manage-playlists.html","","Creating and Managing Playlists","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/playlist-using.html","Jan 24, 2016, 10:54:27 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/managing-videos/working-with-playlists.html","","Working with Playlists","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/playlist-using.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/managing-videos/working-with-playlists.html","","Working with Playlists","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/playlist-using.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/playlist-using.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Authentication Credentials","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/api-operations.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/get-token.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/get-client-credentials-postman.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","OAuth UI","http://docs.brightcove.com/en/video-cloud/oauth-api/getting-started/oauth-api-overview.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud/oauth-api/getting-started/oauth-api-overview.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud/ingest-profiles-api/getting-started/quick-start.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud//oauth-api/guides/get-client-credentials-postman.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","OAuth UI","http://docs.brightcove.com/en/video-cloud//oauth-api/getting-started/oauth-api-overview.html","Jan 24, 2016, 10:54:28 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-api-credentials.html","","Managing API Credentials","http://docs.brightcove.com/en/video-cloud//oauth-api/getting-started/oauth-api-overview.html","Jan 24, 2016, 10:54:28 AM"
"404 not found < 301 moved permanently","http://www.whatwg.org/specs/web-apps/current-work/multipage/the-video-element.html","https://html.spec.whatwg.org/multipage/the-video-element.html","HTML5 media API","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/api.html","Jan 24, 2016, 10:54:29 AM"
"404 not found","https://github.com/videojs/video.js/blob/master/src/css/video-js.less","","LESS","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/skins.html","Jan 24, 2016, 10:54:29 AM"
"404 not found","https://github.com/videojs/video.js/blob/master/src/css/video-js.less","","LESS","http://docs.brightcove.com/en/video-cloud//brightcove-player/guides/skins.html","Jan 24, 2016, 10:54:29 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/1x-5x-skins.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/popular-videos-playlist.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/popular-videos-overlay.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/tabbed-playlist.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/tabbed-playlist.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/tabbed-playlist.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://codepen.io/bcls","","@bcls","http://docs.brightcove.com/en/video-cloud/brightcove-player/samples/tabbed-playlist.html","Jan 24, 2016, 10:54:30 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/setting-player-properties.html","","Configuring the Video Content Properties for a Player","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/ads-quick-start.html","Jan 24, 2016, 10:54:31 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/publishing-videos/publishing-videos-media-module.html","","Media module","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/adding-captions-to-videos.html","Jan 24, 2016, 10:54:31 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/media-module/publishing-videos/publishing-videos-media-module.html","","Publishing Videos with the Media Module","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/adding-captions-to-videos.html","Jan 24, 2016, 10:54:31 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-social-sharing-settings.html","","setting the social sharing properties","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/social-media-plugin.html","Jan 24, 2016, 10:54:32 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-social-sharing-settings.html","","Configuring the Social Sharing Properties for a Player","http://docs.brightcove.com/en/video-cloud/brightcove-player/guides/social-media-plugin.html","Jan 24, 2016, 10:54:32 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-social-sharing-settings.html","","setting the social sharing properties","http://docs.brightcove.com/en/video-cloud//brightcove-player/guides/social-media-plugin.html","Jan 24, 2016, 10:54:32 AM"
